@HomeiMiyashita	1433058385	いよいよ明日18時から、中野キャンパス5階ホールで  #EP演習 の発表会最終回です！感動的なフィナーレにご期待ください！どなたでもぜひお越しください！ fms-meiji.jp/archives/1039
@fmstiara	1433077367	煽りとか関係なく明日の #EP演習 楽しみにしてます。
@revC_Rain	1433085340	明日　#中島パン　と　#EP演習　があるのかやばいな
@matatsuna	1433129022	【告知】本日18:00～#EP演習　の発表会があるためツイートが急増します。あらかじめご了承ください。ミュート推奨です。
@fms3_hy	1433132381	発表会で音出るか心配だわ…#EP演習
@matatsuna	1433136367	お疲れ様でした～では、　#EP演習発表会で！！！四組がんばるぞ～～！！#FMS概論
@HomeiMiyashita	1433146838	30分後にホール開場！ fms-meiji.jp/archives/1039 #EP演習
@fms_pilkul	1433146889	緊張してやばいわー#EP演習
@pvcresinfmsfms	1433147364	今日こそツイッター垢さらしてこ #EP演習
@vegetablekirby	1433147417	怖えぇ... #EP演習
@mkk_fms	1433147911	４組勢がんばりましょー(/・ω・)/#EP演習
@wmrn_7	1433148864	はじまるー！今日はつぶやけるー！#EP演習
@Air_mc	1433148868	すばらしいの期待してます４組　#ep演習
@tvsrremix	1433148911	スーパー煽りコラ#EP演習 pic.twitter.com/UpWtbMXwID
@wmrn_7	1433148919	デック採用！#EP演習
@0522Kishikishi	1433148919	#EP演習 実況準備したンゴ
@revC_Rain	1433148929	400行けそうじゃね？　#EP演習
@lanevok	1433148938	私はコレ ow.ly/NHj30 でハッシュタグ #EP演習 ストリーム監視しつつ，hootsuite使う
@revC_Rain	1433148956	たけりょーわろた　#EP演習
@mkk_fms	1433148983	寒い#EP演習
@HRYooba	1433149079	少しの間しかいれませんがよろしくです #EP演習
@knt800_run	1433149159	4組頑張ろう！　#EP演習
@revC_Rain	1433149173	荒れますミュートお願いします　#EP演習
@GentleClarinet	1433149199	EP演習きました #EP演習
@FungiMetalSyoko	1433149201	みんなで実況！ #EP演習
@GentleClarinet	1433149471	ガチ勢が多いらしい #EP演習
@fms3_hy	1433149478	電気消さないでぇぇぇぇぇ‼吐きそうになるから#EP演習
@knt800_run	1433149478	きたきた！　#EP演習
@apapababy	1433149482	ワンダで開始まち　#ep演習
@fms_hama	1433149482	2週目開始までもう間もなく！ #EP演習 pic.twitter.com/nBAkwVPuua
@HRYooba	1433149482	ひろえってぃい乱入 #EP演習
@wmrn_7	1433149485	電池もつかな？　#EP演習
@FMS_Lichen	1433149488	電源か？欲しけりゃくれてやる。探せ！！ #EP演習
@ryunryunryun_	1433149496	延長コードは入り口近くにあります。 #EP演習
@GentleClarinet	1433149510	くにしょーが並んでる #EP演習
@Kakky1028	1433149532	EP演習はじまる！！ #EP演習
@liiliiiliiiil	1433149535	EP演習参戦！！#EP演習
@patchgi	1433149541	パッチギの膝の上空いてます #EP演習
@liz_ei	1433149558	めっちゃ並んでるな～ #EP演習
@GentleClarinet	1433149558	出る杭は、増える。　 #EP演習
@senninmame	1433149561	間に合った　#EP演習
@revC_Rain	1433149568	りゅう飛び込みか？　#EP演習
@satoken_fms	1433149578	今年もあとの週ほどクオリティが高くなったりしてる感じですか #EP演習
@Juckenjack_fms	1433149583	和泉なう…orzみんながんばれ！#EP演習
@HRYooba	1433149592	HSPでスプラトゥーン作った人いるんですかね #EP演習
@liiliiiliiiil	1433149596	初めて見る顔が、たくさんある#EP演習
@revC_Rain	1433149597	@GentleClarinet 飛び込みぱたーんあり？　#EP演習
@od_bird	1433149602	早くやったもん勝ちってのは先週経験済み　#EP演習
@orangina_1102	1433149612	よろしくお願いします #EP演習
@09SY29balett	1433149619	twitter垢さらしてほしい　#EP演習
@revC_Rain	1433149629	先輩が3時間でスプラトゥーンつくったりしないかな　#EP演習
@y_fkey	1433149632	スプラトゥーン発表する人期待してる#EP演習
@pvcresinfmsfms	1433149639	楽しみ～ #EP演習
@fms_hama	1433149647	最初はなおからか… #EP演習
@y_fkey	1433149668	ひろえってぃEP演習再履修#EP演習
@revC_Rain	1433149676	トップなお！　#EP演習
@nao_minty	1433149681	ひろえってぃもう飛び入りするんですか #EP演習
@kzk_ponkotu	1433149701	すごく楽しみ #EP演習
@N_Shogo_N	1433149706	たのしみー#EP演習
@knt800_run	1433149707	HSP DE スプラトゥーンはレベル高い（笑）　#EP演習
@wmrn_7	1433149741	コードやってくださってるかた手伝えなくてすみません！ありがとうございます！　#EP演習
@lanevok	1433149744	パチパチパチ #EP演習
@0522Kishikishi	1433149750	#EP演習つけてる人フォローしてくお
@fmstiara	1433149754	お時間です#EP演習
@maxhiromu	1433149759	わくわく #EP演習
@revC_Rain	1433149762	時間です！　#EP演習
@liz_ei	1433149763	はじまる #EP演習
@HRYooba	1433149764	イケメンの好み #EP演習
@aco_jikkyo	1433149770	はじまりました！！ #EP演習
@0522Kishikishi	1433149771	#EP演習始まった！
@mkk_fms	1433149777	時間になりました、、、、#EP演習
