@thimi_fms	1432544779	あたし、いっさ改めててぃみ(@i_14_fms)は、最初の30分だけ見てます！！皆さんの発表を楽しみにしてます！！#EP演習
@shuto_fms	1432544780	始まる #EP演習
@09SY29balett	1432544781	かっけーー #EP演習
@nkzrs	1432544784	出る杭は、増える。 #EP演習
@mokurei123	1432544785	めっちゃ雰囲気ええやん　#EP演習
@matatsuna	1432544787	いい雰囲気！！#EP演習
@mmchamixxx	1432544791	雰囲気…！！ #EP演習 pic.twitter.com/V5TbImooon
@mkk_fms	1432544793	おおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおいい#EP演習
@matatsuna	1432544796	あと、三分！#EP演習
@dau_59	1432544805	はじまりますよ〜〜 #EP演習 pic.twitter.com/jUPs2EeQbW
@revC_Rain	1432544807	おおおおおおおお！！！　#EP演習
@od_bird	1432544807	deckが重くていきなりツイート読み込み始めたwwwww #EP演習
@7th_FMS	1432544811	あと3分　#EP演習 pic.twitter.com/2BdAetWS6l
@5618kurokki	1432544816	出る杭は、増える。 #EP演習
@mokurei123	1432544816	去年の今頃はまだアイデアすら決まってなかった　#EP演習
@matatsuna	1432544817	注意事項#EP演習
@ryo_corleonis	1432544820	なんでこんな前に座ってしまったんだ・・・#EP演習
@mugityalove	1432544823	去年の高まりが！！懐かしいい #EP演習
@thimi_fms	1432544826	さぁ、始まるよ！！#EP演習 pic.twitter.com/C0a00rX7Bo
@chansari223_fms	1432544826	壮大すぎる #EP演習 pic.twitter.com/txEng2nCl2
@miwa_waterfall	1432544842	3組みんな頑張れ(((o(*ﾟ▽ﾟ*)o)))！#EP演習 pic.twitter.com/WH0Yef4cMc
@fms_hama	1432544843	きたきたー！m(。≧Д≦。)m#EP演習 pic.twitter.com/gWWT0yeo7U
@revC_Rain	1432544845	宮下カメラwww　#EP演習
@mokurei123	1432544853	どんどん強そうになるな　#EP演習
@mugityalove	1432544856	ｗｗｗ　テレビのアナウンサーっぽいｗ #EP演習
@sskai_fms	1432544866	事前説明　#EP演習
@vaseline_gk	1432544873	宮下先生のカメラかっこいい　#EP演習
@matatsuna	1432544874	撮影してます。もしかしたらyoutubeに限定公開するかも～居たら宮下先生にでも～#EP演習
@od_bird	1432544875	うぎゃあ　#EP演習
@knt800_run	1432544879	宮下カメラwww #EP演習
@tkd_phydes	1432544882	始まります#EP演習
@revC_Rain	1432544886	やばい出ないのに緊張感！　#EP演習
@kabocha_muri	1432544892	きたきたきた #EP演習
